,Año,Trimestre,Provincia,Tecnología,Accesos
544,2017,2,Salta,ADSL,80184.0
545,2017,2,San Juan,ADSL,48670.0
546,2017,2,San Luis,ADSL,11432.0
547,2017,2,Santa Cruz,ADSL,15311.0
548,2017,2,Santa Fe,ADSL,329813.0
549,2017,2,Santiago Del Estero,ADSL,28337.0
550,2017,2,Tierra Del Fuego,ADSL,22636.0
551,2017,2,Tucumán,ADSL,149013.0
552,2017,1,Buenos Aires,ADSL,1559178.0
553,2017,1,Capital Federal,ADSL,428801.0
554,2017,1,Catamarca,ADSL,26020.0
555,2017,1,Chaco,ADSL,54430.0
556,2017,1,Chubut,ADSL,43994.0
557,2017,1,Córdoba,ADSL,335673.0
558,2017,1,Corrientes,ADSL,54993.0
559,2017,1,Entre Ríos,ADSL,108509.0
560,2017,1,Formosa,ADSL,22438.0
561,2017,1,Jujuy,ADSL,33869.0
562,2017,1,La Pampa,ADSL,12754.0
563,2017,1,La Rioja,ADSL,16180.0
564,2017,1,Mendoza,ADSL,153326.0
565,2017,1,Misiones,ADSL,57363.0
566,2017,1,Neuquén,ADSL,51771.0
567,2017,1,Río Negro,ADSL,67075.0
568,2017,1,Salta,ADSL,79837.0
569,2017,1,San Juan,ADSL,48670.0
570,2017,1,San Luis,ADSL,11432.0
571,2017,1,Santa Cruz,ADSL,15502.0
572,2017,1,Santa Fe,ADSL,327458.0
573,2017,1,Santiago Del Estero,ADSL,29616.0
574,2017,1,Tierra Del Fuego,ADSL,22636.0
575,2017,1,Tucumán,ADSL,147373.0
576,2016,4,Buenos Aires,ADSL,1563542.0
577,2016,4,Capital Federal,ADSL,434835.0
578,2016,4,Catamarca,ADSL,26735.0
579,2016,4,Chaco,ADSL,54974.0
580,2016,4,Chubut,ADSL,43994.0
581,2016,4,Córdoba,ADSL,337368.0
582,2016,4,Corrientes,ADSL,54981.0
583,2016,4,Entre Ríos,ADSL,109359.0
584,2016,4,Formosa,ADSL,22400.0
585,2016,4,Jujuy,ADSL,33838.0
586,2016,4,La Pampa,ADSL,12754.0
587,2016,4,La Rioja,ADSL,16270.0
588,2016,4,Mendoza,ADSL,153320.0
589,2016,4,Misiones,ADSL,57983.0
