,Localidad,Departamento,Provincia,Latitud,Longitud,Estado
303,Cusi Cusi,Santa Catalina,Jujuy,"-22,34100899","-66,49245265",Conectado
304,Daireaux,Daireaux,Buenos Aires,"-36,59658333","-61,74971111",Conectado
305,Dalmacio Velez,Tercero Arriba,Córdoba,"-32,612183","-63,578467",Conectado
306,De Bary,Pellegrini,Buenos Aires,"-36,34075","-63,25986111",Conectado
307,Dean Funes,Ischilin,Córdoba,"-30,42289444","-64,35716111",Conectado
308,Del Carril,Saladillo,Buenos Aires,"-35,50838889","-59,51580556",Conectado
309,Del Viso,Pilar,Buenos Aires,"-34,45436111","-58,79658333",Conectado
310,Delfin Gallo,Cruz Alta,Tucumán,"-26,84598889","-65,09426667",Conectado
311,Derqui,Pilar,Buenos Aires,"-34,4913","-58,84225",Conectado
312,Despeñaderos,Santa Maria,Córdoba,"-31,81759444","-64,29596389",Conectado
313,Desvio Arijon,San Jeronimo,Santa Fe,"-31,87219444","-60,88847778",Conectado
314,Devoto,San Justo,Córdoba,"-31,40551389","-62,30051667",Conectado
315,Diamante,Diamante,Entre Ríos,"-32,07167778","-60,63232222",Conectado
316,Diego de Alvear,General Lopez,Santa Fe,"-34,37261111","-62,12951111",Conectado
317,Diego Gaynor,Exaltacion de La Cruz,Buenos Aires,"-34,28715839","-59,2212097",Conectado
318,Dina Huapi,Pilcaniyeu,Rio Negro,"-41,074825","-71,168925",Conectado
319,Don Cristobal,Nogoya,Entre Ríos,"-32,07224444","-59,9941",Conectado
320,Don Emilio,San Pedro,Jujuy,"-24,31513889","-64,90741111",Conectado
321,Donadeu,Alberdi,Santiago del Estero,"-26,72361111","-62,72416667",Conectado
